ID,Name,Description,Cost,Sell,Infectivity,Lethality,Visibility,Heat Resistance,Cold Resistance,Wet Resistance,Dry Resistance,Medicinal Resistance,Water Transmission,Air Transmission,Previous,Next,Image
14,Inflammation,Inflammation is harmful and disrupting for many bodily processes. Can be deadly,9,11,6,10,9,0,0,0,0,0,0,0,8,15,perk_inflammation.png
15,Paralysis,Paralysis is deadly but makes it much less likely for infected to infect others.,17,20,-2,20,30,0,0,0,0,0,0,0,14,16,perk_paralysis.png
16,Coma,Comas are very deadly and make it much less likely for infected to infect others.,30,40,-15,40,50,0,0,0,0,0,0,0,15,,perk_coma.png
17,Delirium,Delerium comes after not sleeping for way too long. It is very dangerous and very noticeable.,15,17,-3,15,20,0,0,0,0,0,0,0,10,,perk_delirium.png
18,Pulmonary Edema,Blood in the lungs or Pulmonary Edema makes a disease more infective and deadly and visible.,28,35,10,25,35,0,0,0,0,0,0,0,13,,perk_pulmonary_edema.png
19,Hypoxia,Hypoxia or the death of organs due to lack of oxygen is extremely deadly and will lead to much notice.,35,37,0,50,70,0,0,0,0,0,0,0,13,,perk_hypoxia.png
20,Heat Resistance I,Resistance to low heat.,10,10,0,0,0,1,0,0,0,0,0,0,,21,perk_heat_1.png
21,Heat Resistance II,Resistance to medium heat.,15,15,0,0,0,1,0,0,0,0,0,0,20,22,perk_heat_2.png
22,Heat Resistance III,Resistance to high heat.,20,20,0,0,0,1,0,0,0,0,0,0,21,,perk_heat_3.png
23,Cold Resistance I,Resistance to low cold.,10,10,0,0,0,0,1,0,0,0,0,0,,24,perk_cold_1.png
24,Cold Resistance II,Resistance to medium cold.,15,15,0,0,0,0,1,0,0,0,0,0,23,25,perk_cold_2.png
25,Cold Resistance III,Resistance to high cold.,20,20,0,0,0,0,1,0,0,0,0,0,24,,perk_cold_3.png
26,Wet Resistance I,Resistance to low wetness.,10,10,0,0,0,0,0,1,0,0,0,0,,27,perk_wet_1.png
27,Wet Resistance II,Resistance to medium wetness.,15,15,0,0,0,0,0,1,0,0,0,0,26,28,perk_wet_2.png
28,Wet Resistance III,Resistance to high wetness.,20,20,0,0,0,0,0,1,0,0,0,0,27,,perk_wet_3.png
29,Dry Resistance I,Resistance to low dryness.,10,10,0,0,0,0,0,0,1,0,0,0,,30,perk_dry_1.png
30,Dry Resistance II,Resistance to medium dryness.,15,15,0,0,0,0,0,0,1,0,0,0,29,31,perk_dry_2.png
31,Dry Resistance III,Resistance to high dryness.,20,20,0,0,0,0,0,0,1,0,0,0,30,,perk_dry_3.png
32,Medicinal Resistance I,Resistance to low levels of medicine.,10,10,0,0,0,0,0,0,0,1,0,0,,33,perk_med_1.png
33,Medicinal Resistance II,Resistance to medium levels of medicine.,15,15,0,0,0,0,0,0,0,1,0,0,32,34,perk_med_2.png
34,Medicinal Resistance III,Resistance to high levels of medicine.,20,20,0,0,0,0,0,0,0,1,0,0,33,,perk_med_2.png
35,Water Transmission I,Low ability to be transmitted through water.,10,10,3,0,0,0,0,0,0,0,9,0,,36,perk_water_1.png
36,Water Transmission II,Medium ability to be transmitted through water.,15,15,6,0,0,0,0,0,0,0,15,0,35,37,perk_water_2.png
37,Water Transmission III,High ability to be transmitted through water.,25,25,9,0,0,0,0,0,0,0,25,0,36,,perk_water_3.png
38,Air Transmission I,Low ability to be transmitted through air.,10,10,3,0,0,0,0,0,0,0,0,1,,39,perk_air_1.png
39,Air Transmission II,Medium ability to be transmitted through air.,15,15,6,0,0,0,0,0,0,0,0,3,38,40,perk_air_2.png
40,Air Transmission III,High ability to be transmitted through air.,25,25,9,0,0,0,0,0,0,0,0,7,39,,perk_air_3.png
41,Avian Transmission I,Low ability to be transmitted through birds.,10,10,3,0,0,0,0,0,0,0,1,1,,42,perk_avian_1.png
42,Avian Transmission II,Medium ability to be transmitted through birds.,15,15,6,0,0,0,0,0,0,0,3,3,41,43,perk_avian_2.png
43,Avian Transmission III,High ability to be transmitted through brids.,25,25,9,0,0,0,0,0,0,0,7,7,42,,perk_avian_3.png
44,Insect Transmission I,Low ability to be transmitted through insects.,10,10,3,0,0,0,0,0,0,0,1,1,,45,perk_insect_1.png
45,Insect Transmission II,Medium ability to be transmitted through insects.,15,15,6,0,0,0,0,0,0,0,3,3,44,46,perk_insect_2.png
46,Insect Transmission III,High ability to be transmitted through insects.,25,25,9,0,0,0,0,0,0,0,7,7,45,,perk_insect_3.png
