ID,Name,Description,Cost,Sell,Infectivity,Lethality,Visibility,Heat Resistance,Cold Resistance,Wet Resistance,Dry Resistance,Medicinal Resistance,Water Transmission,Air Transmission,Previous,Next,Image
19,Inflammation,Inflammation is harmful and disrupting for many bodily processes. Can be deadly,9,2,6,10,9,0,0,0,0,0,0,0,8and9,,body.png
20,Paralysis,Paralysis is deadly but makes it much less likely for infected to infect others.,35,9,-2,40,65,0,0,0,0,0,0,0,16,21,body.png
21,Coma,Comas are very deadly and make it much less likely for infected to infect others.,45,17,-15,50,70,0,0,0,0,0,0,0,20,,body.png
22,Delirium,Delirium comes after not sleeping for way too long. It is very dangerous and very noticeable.,15,3,-3,15,20,0,0,0,0,0,0,0,6and18,,crackedhead.png
23,Heat Resistance I,Resistance to low heat.,10,10,0,0,0,1,0,0,0,0,0,0,,24,heat1.png
24,Heat Resistance II,Resistance to medium heat.,15,15,0,0,0,1,0,0,0,0,0,0,23,25,heat2.png
25,Heat Resistance III,Resistance to high heat.,20,20,0,0,0,1,0,0,0,0,0,0,24,,heat3.png
26,Cold Resistance I,Resistance to low cold.,10,10,0,0,0,0,1,0,0,0,0,0,,27,cold1.png
27,Cold Resistance II,Resistance to medium cold.,15,15,0,0,0,0,1,0,0,0,0,0,26,28,cold2.png
28,Cold Resistance III,Resistance to high cold.,20,20,0,0,0,0,1,0,0,0,0,0,27,,cold3.png
29,Wet Resistance I,Resistance to low wetness.,10,10,0,0,0,0,0,1,0,0,0,0,,30,wet1.png
30,Wet Resistance II,Resistance to medium wetness.,15,15,0,0,0,0,0,1,0,0,0,0,29,31,wet2.png
31,Wet Resistance III,Resistance to high wetness.,20,20,0,0,0,0,0,1,0,0,0,0,30,,wet3.png
32,Dry Resistance I,Resistance to low dryness.,10,10,0,0,0,0,0,0,1,0,0,0,,33,dry1.png
33,Dry Resistance II,Resistance to medium dryness.,15,15,0,0,0,0,0,0,1,0,0,0,32,34,dry2.png
34,Dry Resistance III,Resistance to high dryness.,20,20,0,0,0,0,0,0,1,0,0,0,33,,dry3.png
35,Medicinal Resistance I,Resistance to low levels of medicine.,10,10,0,0,0,0,0,0,0,1,0,0,,36,med1.png
36,Medicinal Resistance II,Resistance to medium levels of medicine.,15,15,0,0,0,0,0,0,0,1,0,0,35,37,med2.png
37,Medicinal Resistance III,Resistance to high levels of medicine.,20,20,0,0,0,0,0,0,0,1,0,0,36,,med3.png
38,Water Transmission I,Low ability to be transmitted through water.,10,10,5,0,0,0,0,0,0,0,9,0,,39,water1.png
39,Water Transmission II,Medium ability to be transmitted through water.,15,15,10,0,0,0,0,0,0,0,15,0,38,40,water2.png
40,Water Transmission III,High ability to be transmitted through water.,25,25,15,0,0,0,0,0,0,0,25,0,39,,water3.png
41,Air Transmission I,Low ability to be transmitted through air.,10,10,5,0,0,0,0,0,0,0,0,1,,42,air1.png
42,Air Transmission II,Medium ability to be transmitted through air.,15,15,10,0,0,0,0,0,0,0,0,3,41,43,air2.png
43,Air Transmission III,High ability to be transmitted through air.,25,25,15,0,0,0,0,0,0,0,0,7,42,,air3.png
44,Avian Transmission I,Low ability to be transmitted through birds.,10,10,5,0,0,0,0,0,0,0,1,1,,45,avian1.png
45,Avian Transmission II,Medium ability to be transmitted through birds.,15,15,10,0,0,0,0,0,0,0,3,3,44,46,avian2.png
46,Avian Transmission III,High ability to be transmitted through brids.,25,25,15,0,0,0,0,0,0,0,7,7,45,,avian3.png
47,Insect Transmission I,Low ability to be transmitted through insects.,10,10,5,0,0,0,0,0,0,0,1,1,,48,insect1.png
48,Insect Transmission II,Medium ability to be transmitted through insects.,15,15,10,0,0,0,0,0,0,0,3,3,47,49,insect2.png
49,Insect Transmission III,High ability to be transmitted through insects.,25,25,15,0,0,0,0,0,0,0,7,7,48,,insect3.png
